Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
ARA Basel/Prorheno,2024-11-01,RSV-N,265369.06,132684.53,0.97121584,0.7757382,1.1586365
ARA Basel/Prorheno,2024-11-02,RSV-N,NA,265369.06,0.9707234,0.7767668,1.1577163
ARA Basel/Prorheno,2024-11-03,RSV-N,0,132684.53,0.9706526,0.7761375,1.158864
ARA Basel/Prorheno,2024-11-04,RSV-N,643427.56,132684.53,0.9710074,0.7727456,1.1628027
ARA Basel/Prorheno,2024-11-05,RSV-N,NA,0,0.9717935,0.77190524,1.1653037
ARA Basel/Prorheno,2024-11-06,RSV-N,0,0,0.97301894,0.7740101,1.1687473
ARA Basel/Prorheno,2024-11-07,RSV-N,NA,195807.25,0.97469425,0.7791009,1.1708567
ARA Basel/Prorheno,2024-11-08,RSV-N,NA,195807.25,0.97683144,0.77648747,1.1763783
ARA Basel/Prorheno,2024-11-09,RSV-N,0,195807.25,0.9794452,0.7787867,1.183301
ARA Basel/Prorheno,2024-11-10,RSV-N,391614.5,391614.5,0.9825519,0.77896696,1.1896472
ARA Basel/Prorheno,2024-11-11,RSV-N,997878,654743.78,0.98617,0.7802925,1.1968298
ARA Basel/Prorheno,2024-11-12,RSV-N,NA,391614.5,0.99031955,0.78477293,1.203872
ARA Basel/Prorheno,2024-11-13,RSV-N,NA,654743.78,0.9950203,0.78847116,1.2120148
ARA Basel/Prorheno,2024-11-14,RSV-N,917873.06,458936.53,1.0002912,0.78900135,1.2221107
ARA Basel/Prorheno,2024-11-15,RSV-N,0,345090.3,1.0061512,0.79384935,1.2340858
ARA Basel/Prorheno,2024-11-16,RSV-N,NA,0,1.012618,0.7983907,1.2465967
ARA Basel/Prorheno,2024-11-17,RSV-N,0,0,1.0197089,0.80493015,1.259091
ARA Basel/Prorheno,2024-11-18,RSV-N,690180.6,0,1.0274404,0.809001,1.273546
ARA Basel/Prorheno,2024-11-19,RSV-N,0,0,1.035829,0.8148989,1.2816365
ARA Basel/Prorheno,2024-11-20,RSV-N,NA,0,1.0448893,0.8220426,1.2885145
ARA Basel/Prorheno,2024-11-21,RSV-N,NA,0,1.0546353,0.8256535,1.304657
ARA Basel/Prorheno,2024-11-22,RSV-N,0,0,1.0650805,0.83157384,1.3131275
ARA Basel/Prorheno,2024-11-23,RSV-N,NA,0,1.076237,0.83887297,1.3282348
ARA Basel/Prorheno,2024-11-24,RSV-N,0,0,1.0881157,0.8432856,1.3370565
ARA Basel/Prorheno,2024-11-25,RSV-N,1070059,0,1.1007266,0.8548809,1.3523062
ARA Basel/Prorheno,2024-11-26,RSV-N,NA,0,1.1140776,0.85998046,1.375487
ARA Basel/Prorheno,2024-11-27,RSV-N,0,0,1.1281698,0.8687193,1.3936702
ARA Basel/Prorheno,2024-11-28,RSV-N,NA,0,1.1429958,0.885895,1.4122195
ARA Basel/Prorheno,2024-11-29,RSV-N,0,0,1.1585407,0.9024772,1.4333067
ARA Basel/Prorheno,2024-11-30,RSV-N,NA,0,1.1747814,0.91600937,1.4500012
ARA Basel/Prorheno,2024-12-01,RSV-N,0,0,1.191686,0.93528223,1.4721018
ARA Basel/Prorheno,2024-12-02,RSV-N,1465702.4,172466.9,1.2092152,0.95694894,1.4908527
ARA Basel/Prorheno,2024-12-03,RSV-N,NA,172466.9,1.2273203,0.9789299,1.512264
ARA Basel/Prorheno,2024-12-04,RSV-N,NA,172466.9,1.2459441,0.9986924,1.5322412
ARA Basel/Prorheno,2024-12-05,RSV-N,344933.8,172466.9,1.2650208,1.0118545,1.5488595
ARA Basel/Prorheno,2024-12-06,RSV-N,0,172466.9,1.284475,1.0258565,1.5689722
ARA Basel/Prorheno,2024-12-07,RSV-N,NA,0,1.3042225,1.0398858,1.584542
ARA Basel/Prorheno,2024-12-08,RSV-N,0,0,1.3241704,1.056311,1.6054667
ARA Basel/Prorheno,2024-12-09,RSV-N,2219572.2,0,1.3442168,1.0781407,1.6227264
ARA Basel/Prorheno,2024-12-10,RSV-N,0,149471.05,1.3642539,1.0972828,1.6470355
ARA Basel/Prorheno,2024-12-11,RSV-N,NA,149471.05,1.384176,1.1145097,1.672795
ARA Basel/Prorheno,2024-12-12,RSV-N,NA,149471.05,1.4038839,1.1314555,1.6914974
ARA Basel/Prorheno,2024-12-13,RSV-N,298942.1,149471.05,1.4232846,1.150319,1.7081435
ARA Basel/Prorheno,2024-12-14,RSV-N,NA,298942.1,1.4422903,1.1773367,1.7293675
ARA Basel/Prorheno,2024-12-15,RSV-N,0,298942.1,1.4608189,1.1972905,1.753672
ARA Basel/Prorheno,2024-12-16,RSV-N,724075.4,298942.1,1.4787947,1.2239927,1.786111
ARA Basel/Prorheno,2024-12-17,RSV-N,NA,362037.7,1.4961475,1.2441425,1.8025885
ARA Basel/Prorheno,2024-12-18,RSV-N,NA,362037.7,1.5128129,1.2649002,1.8267097
ARA Basel/Prorheno,2024-12-19,RSV-N,NA,724075.4,1.5287318,1.2833933,1.849356
ARA Basel/Prorheno,2024-12-20,RSV-N,NA,NA,1.5438515,1.301394,1.871674
ARA Basel/Prorheno,2024-12-21,RSV-N,NA,NA,1.5581245,1.3171905,1.8867275
ARA Basel/Prorheno,2024-12-22,RSV-N,NA,NA,1.5715094,1.3264507,1.905037
ARA Basel/Prorheno,2024-12-23,RSV-N,NA,NA,1.5839698,1.3350666,1.921664
ARA Basel/Prorheno,2024-12-24,RSV-N,NA,NA,1.5954747,1.34718,1.934631
ARA Basel/Prorheno,2024-12-25,RSV-N,NA,NA,1.6059904,1.3531165,1.9448452
ARA Basel/Prorheno,2024-12-26,RSV-N,NA,NA,1.6154809,1.3611147,1.9664953
ARA Basel/Prorheno,2024-12-27,RSV-N,NA,NA,1.6239066,1.3669997,1.9798193
ARA Basel/Prorheno,2024-12-28,RSV-N,NA,NA,1.6312258,1.369834,1.9890065
ARA Basel/Prorheno,2024-12-29,RSV-N,NA,534132.8,1.6373928,1.3717242,2.0000439
ARA Basel/Prorheno,2024-12-30,RSV-N,NA,534132.8,1.6423596,1.374218,2.0107086
ARA Basel/Prorheno,2024-12-31,RSV-N,NA,267066.4,1.6460751,1.3757788,2.0139306
ARA Basel/Prorheno,2025-01-01,RSV-N,534132.8,267066.4,1.6484851,1.3797512,2.0231264
ARA Basel/Prorheno,2025-01-02,RSV-N,NA,0,1.649532,1.382401,2.0444524
ARA Basel/Prorheno,2025-01-03,RSV-N,0,267066.4,1.6491559,1.3799545,2.043529
ARA Basel/Prorheno,2025-01-04,RSV-N,NA,267066.4,1.6472939,1.379417,2.040667
ARA Basel/Prorheno,2025-01-05,RSV-N,0,1191232.9,1.6438794,1.3773525,2.0320675
ARA Basel/Prorheno,2025-01-06,RSV-N,2792999.8,1191232.9,1.6388434,1.3708615,2.0223951
ARA Basel/Prorheno,2025-01-07,RSV-N,NA,2304482.5,1.632118,1.3665148,2.0096514
ARA Basel/Prorheno,2025-01-08,RSV-N,2382465.8,2304482.5,1.6236533,1.35944,1.996309
ARA Basel/Prorheno,2025-01-09,RSV-N,NA,2304482.5,1.6134216,1.3511888,1.9753833
ARA Basel/Prorheno,2025-01-10,RSV-N,2226499.2,2304482.5,1.601418,1.3455718,1.9495835
ARA Basel/Prorheno,2025-01-11,RSV-N,NA,2304482.5,1.5876596,1.3405285,1.9189802
ARA Basel/Prorheno,2025-01-12,RSV-N,1611888.8,2226499.2,1.5721858,1.3318207,1.8840908
ARA Basel/Prorheno,2025-01-13,RSV-N,13920013,2467618.2,1.5550585,1.3205955,1.846362
ARA Basel/Prorheno,2025-01-14,RSV-N,NA,4662399.35,1.5363623,1.3097527,1.8076233
ARA Basel/Prorheno,2025-01-15,RSV-N,NA,4662399.35,1.5162038,1.2988447,1.7721008
ARA Basel/Prorheno,2025-01-16,RSV-N,2708737.2,4662399.35,1.494712,1.2895492,1.730028
ARA Basel/Prorheno,2025-01-17,RSV-N,6616061.5,4662399.35,1.4720385,1.273811,1.697617
ARA Basel/Prorheno,2025-01-18,RSV-N,NA,6616061.5,1.4483578,1.2577885,1.6673093
ARA Basel/Prorheno,2025-01-19,RSV-N,2480557,6616061.5,1.4238658,1.2414345,1.634886
