"","ara_id","sample_id","collection_date","flow","loq","pathogen","conc","total_pop","ara_name","load","median_7d"
"1",26101,"10_2024_11_08",2024-11-08,157937,32880,"RSV-A",4223.04,475198,"Werdhölzli",1403571.28708454,NA
"2",26101,"10_2024_11_08",2024-11-08,157937,32880,"RSV-B",0,475198,"Werdhölzli",0,NA
"3",26101,"10_2024_11_09",2024-11-09,153448,32880,"RSV-A",9794.682,475198,"Werdhölzli",3162838.15069929,NA
"4",26101,"10_2024_11_09",2024-11-09,153448,32880,"RSV-B",1590.2355,475198,"Werdhölzli",513509.015197875,NA
"5",26101,"10_2024_11_16",2024-11-16,148835,32880,"RSV-A",3806.867,475198,"Werdhölzli",1192334.66880122,NA
"6",26101,"10_2024_11_16",2024-11-16,148835,32880,"RSV-B",3839.5112,475198,"Werdhölzli",1202559.03739494,NA
"7",26101,"10_2024_11_17",2024-11-17,148002,32880,"RSV-A",5608.7197,475198,"Werdhölzli",1746854.43339282,1746854.43339282
"8",26101,"10_2024_11_17",2024-11-17,148002,32880,"RSV-B",0,475198,"Werdhölzli",0,1202559.03739494
"9",26101,"10_2024_11_22",2024-11-22,216414,32880,"RSV-A",4731.609,475198,"Werdhölzli",2154862.66803732,2154862.66803732
"10",26101,"10_2024_11_22",2024-11-22,216414,32880,"RSV-B",3053.8604,475198,"Werdhölzli",1390784.77730462,1390784.77730462
"11",26101,"10_2024_11_24",2024-11-24,304305,32880,"RSV-A",8466.229,475198,"Werdhölzli",5421562.83453424,1746854.43339282
"12",26101,"10_2024_11_24",2024-11-24,304305,32880,"RSV-B",5014.708,475198,"Werdhölzli",3211294.48764515,1390784.77730462
"13",26101,"10_2024_11_29",2024-11-29,288529,32880,"RSV-A",1331.785,475198,"Werdhölzli",808628.391249542,2154862.66803732
"14",26101,"10_2024_11_29",2024-11-29,288529,32880,"RSV-B",4199.2017,475198,"Werdhölzli",2549656.07451904,2549656.07451904
"15",26101,"10_2024_11_30",2024-11-30,212139,32880,"RSV-A",9553.139,475198,"Werdhölzli",4264734.60393562,4264734.60393562
