"ID"	"batch"	"protocol"	"date"	"location"	"batch_date"
"A1_05_2024_11_05"	"20241122_2411645932"	"RSV-A"	"2024_11_05"	"05"	"20241122"
"B2_25_2024_11_05"	"20241122_2411645932"	"RSV-A"	"2024_11_05"	"25"	"20241122"
"D1_10_2024_11_05"	"20241122_2411645932"	"RSV-A"	"2024_11_05"	"10"	"20241122"
"G1_17_2024_11_05"	"20241122_2411645932"	"RSV-A"	"2024_11_05"	"17"	"20241122"
"E2_15_2024_11_06"	"20241122_2411645932"	"RSV-A"	"2024_11_06"	"15"	"20241122"
"H2_16_2024_11_06"	"20241122_2411645932"	"RSV-B"	"2024_11_06"	"16"	"20241122"
"A3_16_2024_11_07"	"20241122_2411645932"	"RSV-B"	"2024_11_07"	"16"	"20241122"
"B1_05_2024_11_08"	"20241122_2411645932"	"RSV-A"	"2024_11_08"	"05"	"20241122"
"B3_16_2024_11_08"	"20241122_2411645932"	"RSV-B"	"2024_11_08"	"16"	"20241122"
"C2_25_2024_11_08"	"20241122_2411645932"	"RSV-A"	"2024_11_08"	"25"	"20241122"
"E1_10_2024_11_08"	"20241122_2411645932"	"RSV-A"	"2024_11_08"	"10"	"20241122"
"H1_17_2024_11_08"	"20241122_2411645932"	"RSV-A"	"2024_11_08"	"17"	"20241122"
"A2_17_2024_11_09"	"20241122_2411645932"	"RSV-A"	"2024_11_09"	"17"	"20241122"
"C1_05_2024_11_09"	"20241122_2411645932"	"RSV-A"	"2024_11_09"	"05"	"20241122"
"D2_25_2024_11_09"	"20241122_2411645932"	"RSV-A"	"2024_11_09"	"25"	"20241122"
"F1_10_2024_11_09"	"20241122_2411645932"	"RSV-A"	"2024_11_09"	"10"	"20241122"
"F2_15_2024_11_09"	"20241122_2411645932"	"RSV-A"	"2024_11_09"	"15"	"20241122"
"G2_15_2024_11_10"	"20241122_2411645932"	"RSV-A"	"2024_11_10"	"15"	"20241122"
"A1_05_2024_11_13"	"20241129_2414623138"	"RSV-B"	"2024_11_13"	"05"	"20241129"
"B2_25_2024_11_13"	"20241129_2414623138"	"RSV-A"	"2024_11_13"	"25"	"20241129"
