,sample_id,date,location,subtype,genome_region,nuc_diversity,covered_part,mean_pos_coverage,richness
0,A1_05_2024_11_05,2024_11_05,05,RSV-A,G,,0.0,0.0,
1,A1_05_2024_11_05,2024_11_05,05,RSV-A,F,,0.0,0.0,
2,A1_05_2024_11_05,2024_11_05,05,RSV-A,genome,,0.0,0.0,
3,B2_25_2024_11_05,2024_11_05,25,RSV-A,G,,0.0,0.0,
4,B2_25_2024_11_05,2024_11_05,25,RSV-A,F,,0.0,0.0,
5,B2_25_2024_11_05,2024_11_05,25,RSV-A,genome,,0.0,0.0,
6,D1_10_2024_11_05,2024_11_05,10,RSV-A,G,0.0,0.36542443064182195,9.130434782608695,8.4985835694051
7,D1_10_2024_11_05,2024_11_05,10,RSV-A,F,2.3035877230523284e-05,0.24289855072463767,107.6944927536232,7.159904534606206
8,D1_10_2024_11_05,2024_11_05,10,RSV-A,genome,6.734655474687999e-05,0.28032840722495894,107.26193760262726,9.137769447047797
9,G1_17_2024_11_05,2024_11_05,17,RSV-A,G,,0.0,0.0,
10,G1_17_2024_11_05,2024_11_05,17,RSV-A,F,,0.0,0.0,
11,G1_17_2024_11_05,2024_11_05,17,RSV-A,genome,,0.0,0.0,
12,E2_15_2024_11_06,2024_11_06,15,RSV-A,G,,0.0,0.0,
13,E2_15_2024_11_06,2024_11_06,15,RSV-A,F,,0.0,0.0,
14,E2_15_2024_11_06,2024_11_06,15,RSV-A,genome,,0.0,0.0,
15,B1_05_2024_11_08,2024_11_08,05,RSV-A,G,,0.0,0.0,
16,B1_05_2024_11_08,2024_11_08,05,RSV-A,F,,0.0,0.0,
17,B1_05_2024_11_08,2024_11_08,05,RSV-A,genome,,0.0,0.04394088669950739,
18,C2_25_2024_11_08,2024_11_08,25,RSV-A,G,,0.0,0.0,
19,C2_25_2024_11_08,2024_11_08,25,RSV-A,F,,0.0,0.0,
20,C2_25_2024_11_08,2024_11_08,25,RSV-A,genome,,0.0,0.0,
21,E1_10_2024_11_08,2024_11_08,10,RSV-A,G,,0.0,0.0,
22,E1_10_2024_11_08,2024_11_08,10,RSV-A,F,,0.0,0.0,
23,E1_10_2024_11_08,2024_11_08,10,RSV-A,genome,0.0011501259480345004,0.16440065681444993,467.92518883415437,15.581302437075509
24,H1_17_2024_11_08,2024_11_08,17,RSV-A,G,,0.0,0.0,
25,H1_17_2024_11_08,2024_11_08,17,RSV-A,F,,0.0,0.0,
26,H1_17_2024_11_08,2024_11_08,17,RSV-A,genome,,0.0,0.0,
27,A2_17_2024_11_09,2024_11_09,17,RSV-A,G,,0.0,0.0,
28,A2_17_2024_11_09,2024_11_09,17,RSV-A,F,,0.0,0.0,
29,A2_17_2024_11_09,2024_11_09,17,RSV-A,genome,,0.0,0.0,
30,C1_05_2024_11_09,2024_11_09,05,RSV-A,G,,0.0,0.0,
31,C1_05_2024_11_09,2024_11_09,05,RSV-A,F,,0.0,0.0,
32,C1_05_2024_11_09,2024_11_09,05,RSV-A,genome,,0.0,0.0,
33,D2_25_2024_11_09,2024_11_09,25,RSV-A,G,,0.0,0.0,
34,D2_25_2024_11_09,2024_11_09,25,RSV-A,F,,0.0,0.0,
35,D2_25_2024_11_09,2024_11_09,25,RSV-A,genome,,0.0,0.0,
36,F1_10_2024_11_09,2024_11_09,10,RSV-A,G,0.000197382224520107,0.6946169772256728,2021.6832298136646,25.33532041728763
37,F1_10_2024_11_09,2024_11_09,10,RSV-A,F,9.285150775692795e-06,0.41043478260869565,233.7431884057971,5.649717514124294
38,F1_10_2024_11_09,2024_11_09,10,RSV-A,genome,0.0001424016597778214,0.4166174055829228,713.5576354679803,12.454674444269273
39,F2_15_2024_11_09,2024_11_09,15,RSV-A,G,,0.0,0.0,
40,F2_15_2024_11_09,2024_11_09,15,RSV-A,F,,0.0,0.0,
41,F2_15_2024_11_09,2024_11_09,15,RSV-A,genome,,0.0,0.0,
42,G2_15_2024_11_10,2024_11_10,15,RSV-A,G,,0.0,0.0,
43,G2_15_2024_11_10,2024_11_10,15,RSV-A,F,,0.0,0.0,
44,G2_15_2024_11_10,2024_11_10,15,RSV-A,genome,,0.0,0.0,
45,B2_25_2024_11_13,2024_11_13,25,RSV-A,G,,0.0,0.07660455486542443,
46,B2_25_2024_11_13,2024_11_13,25,RSV-A,F,,0.0,0.035942028985507246,
47,B2_25_2024_11_13,2024_11_13,25,RSV-A,genome,,0.0,0.014121510673234812,
48,D1_10_2024_11_13,2024_11_13,10,RSV-A,G,,0.0,0.11387163561076605,
49,D1_10_2024_11_13,2024_11_13,10,RSV-A,F,,0.0,0.035942028985507246,
50,D1_10_2024_11_13,2024_11_13,10,RSV-A,genome,0.00026410893550810126,0.0941871921182266,321.34456486042694,8.368200836820083
51,G1_17_2024_11_13,2024_11_13,17,RSV-A,G,,0.0,0.0,
52,G1_17_2024_11_13,2024_11_13,17,RSV-A,F,,0.0,0.0,
53,G1_17_2024_11_13,2024_11_13,17,RSV-A,genome,,0.0,0.0,
54,E2_15_2024_11_14,2024_11_14,15,RSV-A,G,,0.0,0.12939958592132506,
55,E2_15_2024_11_14,2024_11_14,15,RSV-A,F,,0.0,0.11304347826086956,
56,E2_15_2024_11_14,2024_11_14,15,RSV-A,genome,,0.0,0.0897208538587849,
57,C2_25_2024_11_16,2024_11_16,25,RSV-A,G,,0.0,0.0,
58,C2_25_2024_11_16,2024_11_16,25,RSV-A,F,,0.0,0.0,
59,C2_25_2024_11_16,2024_11_16,25,RSV-A,genome,,0.0,0.0,
60,E1_10_2024_11_16,2024_11_16,10,RSV-A,G,0.0013614423539177055,0.5434782608695652,3713.7339544513457,45.714285714285715
61,E1_10_2024_11_16,2024_11_16,10,RSV-A,F,4.649370545260855e-05,0.09159420289855072,2956.1060869565217,18.9873417721519
62,E1_10_2024_11_16,2024_11_16,10,RSV-A,genome,0.0008990140970665374,0.41313628899835797,1735.654712643678,16.534181240063592
63,H1_17_2024_11_16,2024_11_16,17,RSV-A,G,,0.0,0.0,
64,H1_17_2024_11_16,2024_11_16,17,RSV-A,F,,0.0,0.0,
65,H1_17_2024_11_16,2024_11_16,17,RSV-A,genome,,0.0,0.0,
66,A2_17_2024_11_17,2024_11_17,17,RSV-A,G,,0.0,0.0,
67,A2_17_2024_11_17,2024_11_17,17,RSV-A,F,,0.0,0.0,
68,A2_17_2024_11_17,2024_11_17,17,RSV-A,genome,,0.0,0.0,
69,D2_25_2024_11_17,2024_11_17,25,RSV-A,G,,0.0,0.11387163561076605,
70,D2_25_2024_11_17,2024_11_17,25,RSV-A,F,,0.0,0.035942028985507246,
71,D2_25_2024_11_17,2024_11_17,25,RSV-A,genome,,0.0,0.06088669950738916,
72,F1_10_2024_11_17,2024_11_17,10,RSV-A,G,,0.0,0.0,
73,F1_10_2024_11_17,2024_11_17,10,RSV-A,F,,0.0,0.0,
74,F1_10_2024_11_17,2024_11_17,10,RSV-A,genome,,0.0,0.0,
75,F2_15_2024_11_17,2024_11_17,15,RSV-A,G,,0.0,0.0,
76,F2_15_2024_11_17,2024_11_17,15,RSV-A,F,,0.0,0.0,
77,F2_15_2024_11_17,2024_11_17,15,RSV-A,genome,,0.0,0.0,
78,G2_15_2024_11_18,2024_11_18,15,RSV-A,G,,0.0,0.0,
79,G2_15_2024_11_18,2024_11_18,15,RSV-A,F,0.000932790092348893,0.20753623188405798,15.373333333333333,2.793296089385475
80,G2_15_2024_11_18,2024_11_18,15,RSV-A,genome,0.0007284657267165042,0.07008210180623974,136.7592118226601,9.37207122774133
81,E2_15_2024_11_19,2024_11_19,15,RSV-A,G,,0.0,0.0,
82,E2_15_2024_11_19,2024_11_19,15,RSV-A,F,,0.0,0.1310144927536232,
83,E2_15_2024_11_19,2024_11_19,15,RSV-A,genome,,0.0,0.014844006568144498,
84,B2_25_2024_11_21,2024_11_21,25,RSV-A,G,,0.0,0.0,
85,B2_25_2024_11_21,2024_11_21,25,RSV-A,F,,0.0,0.0,
86,B2_25_2024_11_21,2024_11_21,25,RSV-A,genome,,0.0,0.0,
87,D1_10_2024_11_21,2024_11_21,10,RSV-A,G,,0.0,0.033126293995859216,
88,D1_10_2024_11_21,2024_11_21,10,RSV-A,F,,0.0,0.15420289855072464,
89,D1_10_2024_11_21,2024_11_21,10,RSV-A,genome,,0.0,0.02995073891625616,
90,G1_17_2024_11_21,2024_11_21,17,RSV-A,G,,0.0,0.0,
91,G1_17_2024_11_21,2024_11_21,17,RSV-A,F,,0.0,0.0,
92,G1_17_2024_11_21,2024_11_21,17,RSV-A,genome,,0.0,0.0,
93,C2_25_2024_11_22,2024_11_22,25,RSV-A,G,,0.0,0.0,
94,C2_25_2024_11_22,2024_11_22,25,RSV-A,F,,0.0,0.0,
95,C2_25_2024_11_22,2024_11_22,25,RSV-A,genome,,0.0,0.015041050903119869,
96,E1_10_2024_11_22,2024_11_22,10,RSV-A,G,,0.0,2.251552795031056,
97,E1_10_2024_11_22,2024_11_22,10,RSV-A,F,,0.0,0.23130434782608697,
98,E1_10_2024_11_22,2024_11_22,10,RSV-A,genome,,0.0,0.35060755336617405,
99,F2_15_2024_11_22,2024_11_22,15,RSV-A,G,,0.0,0.0,
100,F2_15_2024_11_22,2024_11_22,15,RSV-A,F,,0.0,0.0,
101,F2_15_2024_11_22,2024_11_22,15,RSV-A,genome,,0.0,0.0,
102,H1_17_2024_11_22,2024_11_22,17,RSV-A,G,,0.0,0.0,
103,H1_17_2024_11_22,2024_11_22,17,RSV-A,F,,0.0,0.0,
104,H1_17_2024_11_22,2024_11_22,17,RSV-A,genome,,0.0,0.0,
105,A2_17_2024_11_24,2024_11_24,17,RSV-A,G,0.001109765018815337,0.9648033126293996,8454.416149068324,25.751072961373392
106,A2_17_2024_11_24,2024_11_24,17,RSV-A,F,0.0019600457293769092,0.647536231884058,3465.9878260869564,11.638316920322291
107,A2_17_2024_11_24,2024_11_24,17,RSV-A,genome,0.0011297795958421077,0.6011822660098523,2667.040985221675,16.169561892275755
108,D2_25_2024_11_24,2024_11_24,25,RSV-A,G,,0.0,0.9627329192546584,
109,D2_25_2024_11_24,2024_11_24,25,RSV-A,F,,0.0,0.5860869565217391,
110,D2_25_2024_11_24,2024_11_24,25,RSV-A,genome,,0.0,0.31047619047619046,
111,F1_10_2024_11_24,2024_11_24,10,RSV-A,G,,0.0,1.3302277432712215,
112,F1_10_2024_11_24,2024_11_24,10,RSV-A,F,,0.0,0.5698550724637681,
113,F1_10_2024_11_24,2024_11_24,10,RSV-A,genome,0.0069169936810436535,0.0060426929392446635,0.5977011494252874,21.73913043478261
114,A1_05_2024_11_25,2024_11_25,05,RSV-A,G,,0.0,0.0,
115,A1_05_2024_11_25,2024_11_25,05,RSV-A,F,,0.0,0.0,
116,A1_05_2024_11_25,2024_11_25,05,RSV-A,genome,,0.0,0.0,
117,B2_25_2024_11_25,2024_11_25,25,RSV-A,G,,0.0,0.11387163561076605,
118,B2_25_2024_11_25,2024_11_25,25,RSV-A,F,,0.0,0.10260869565217391,
119,B2_25_2024_11_25,2024_11_25,25,RSV-A,genome,,0.0,0.05865353037766831,
120,D1_10_2024_11_25,2024_11_25,10,RSV-A,G,0.0018295969721887305,0.6480331262939959,4740.843685300207,38.33865814696485
121,D1_10_2024_11_25,2024_11_25,10,RSV-A,F,0.00020397144112419552,0.8655072463768116,2642.3704347826088,11.386470194239784
122,D1_10_2024_11_25,2024_11_25,10,RSV-A,genome,0.0028308389092896982,0.5487027914614121,2236.4345484400656,19.272204931769213
123,G1_17_2024_11_25,2024_11_25,17,RSV-A,G,,0.0,0.12939958592132506,
124,G1_17_2024_11_25,2024_11_25,17,RSV-A,F,,0.0,0.11304347826086956,
125,G1_17_2024_11_25,2024_11_25,17,RSV-A,genome,,0.0,0.046108374384236456,
126,G2_15_2024_11_25,2024_11_25,15,RSV-A,G,,0.0,0.0,
127,G2_15_2024_11_25,2024_11_25,15,RSV-A,F,,0.0,0.0,
128,G2_15_2024_11_25,2024_11_25,15,RSV-A,genome,,0.0,0.0,
129,H2_16_2024_11_26,2024_11_26,16,RSV-A,G,0.00028959039675432465,0.4865424430641822,5274.423395445135,25.53191489361702
130,H2_16_2024_11_26,2024_11_26,16,RSV-A,F,2.6357782536019682e-05,0.2371014492753623,2927.256811594203,14.669926650366747
131,H2_16_2024_11_26,2024_11_26,16,RSV-A,genome,0.00012946970481077306,0.11770114942528735,1016.3487684729064,17.299107142857142
132,E2_15_2024_11_27,2024_11_27,15,RSV-A,G,,0.0,0.0,
133,E2_15_2024_11_27,2024_11_27,15,RSV-A,F,,0.0,0.0,
134,E2_15_2024_11_27,2024_11_27,15,RSV-A,genome,,0.0,0.0,
135,B1_05_2024_11_29,2024_11_29,05,RSV-A,G,,0.0,0.0,
136,B1_05_2024_11_29,2024_11_29,05,RSV-A,F,,0.0,0.0,
137,B1_05_2024_11_29,2024_11_29,05,RSV-A,genome,,0.0,0.0,
138,C2_25_2024_11_29,2024_11_29,25,RSV-A,G,,0.0,0.0,
139,C2_25_2024_11_29,2024_11_29,25,RSV-A,F,,0.0,0.0,
140,C2_25_2024_11_29,2024_11_29,25,RSV-A,genome,,0.0,0.0,
141,E1_10_2024_11_29,2024_11_29,10,RSV-A,G,,0.0,0.0,
142,E1_10_2024_11_29,2024_11_29,10,RSV-A,F,,0.0,0.0,
143,E1_10_2024_11_29,2024_11_29,10,RSV-A,genome,,0.0,0.0,
144,F2_15_2024_11_29,2024_11_29,15,RSV-A,G,,0.0,0.0,
145,F2_15_2024_11_29,2024_11_29,15,RSV-A,F,,0.0,0.0,
146,F2_15_2024_11_29,2024_11_29,15,RSV-A,genome,,0.0,0.0,
147,H1_17_2024_11_29,2024_11_29,17,RSV-A,G,,0.0,0.0,
148,H1_17_2024_11_29,2024_11_29,17,RSV-A,F,,0.0,0.0,
149,H1_17_2024_11_29,2024_11_29,17,RSV-A,genome,,0.0,0.0,
150,A2_17_2024_11_30,2024_11_30,17,RSV-A,G,0.0002663785822573367,0.484472049689441,62.838509316770185,27.777777777777775
151,A2_17_2024_11_30,2024_11_30,17,RSV-A,F,0.0,0.20753623188405798,6.845217391304348,2.793296089385475
152,A2_17_2024_11_30,2024_11_30,17,RSV-A,genome,0.0001400048203520777,0.07021346469622332,5.689720853858785,19.644527595884004
153,A3_16_2024_11_30,2024_11_30,16,RSV-A,G,0.002409052314685668,0.44616977225672877,6084.31884057971,27.842227378190255
154,A3_16_2024_11_30,2024_11_30,16,RSV-A,F,0.0063746827244557545,0.12695652173913044,4927.551304347826,27.397260273972602
155,A3_16_2024_11_30,2024_11_30,16,RSV-A,genome,0.0026597008664122337,0.35323481116584565,2218.0033497536947,18.40833023428784
156,C1_05_2024_11_30,2024_11_30,05,RSV-A,G,,0.0,0.0,
157,C1_05_2024_11_30,2024_11_30,05,RSV-A,F,,0.0,0.0,
158,C1_05_2024_11_30,2024_11_30,05,RSV-A,genome,,0.0,0.0,
159,D2_25_2024_11_30,2024_11_30,25,RSV-A,G,,0.0,0.0,
160,D2_25_2024_11_30,2024_11_30,25,RSV-A,F,,0.0,0.0,
161,D2_25_2024_11_30,2024_11_30,25,RSV-A,genome,,0.0,0.0,
162,F1_10_2024_11_30,2024_11_30,10,RSV-A,G,0.001931463845956811,0.8964803312629399,3056.0113871635613,34.64203233256351
163,F1_10_2024_11_30,2024_11_30,10,RSV-A,F,0.00028389178778193315,0.49391304347826087,166.7344927536232,10.56338028169014
164,F1_10_2024_11_30,2024_11_30,10,RSV-A,genome,0.001939447253321148,0.4210837438423645,599.6623973727422,19.80970207455935
165,B3_16_2024_12_01,2024_12_01,16,RSV-A,G,0.00026108487660075923,0.11490683229813664,2140.8084886128363,45.04504504504504
166,B3_16_2024_12_01,2024_12_01,16,RSV-A,F,7.006903881546959e-05,0.11246376811594203,1823.799420289855,20.61855670103093
167,B3_16_2024_12_01,2024_12_01,16,RSV-A,genome,0.0014806337302149138,0.2769129720853859,855.5259113300492,19.924098671726757
168,G2_15_2024_12_01,2024_12_01,15,RSV-A,G,,0.0,0.0,
169,G2_15_2024_12_01,2024_12_01,15,RSV-A,F,,0.0,0.0,
170,G2_15_2024_12_01,2024_12_01,15,RSV-A,genome,,0.0,0.0,
171,A1_05_2024_12_03,2024_12_03,05,RSV-A,G,0.0011464732588965883,0.3105590062111801,146.527950310559,56.666666666666664
172,A1_05_2024_12_03,2024_12_03,05,RSV-A,F,,0.0,0.19014492753623188,
173,A1_05_2024_12_03,2024_12_03,05,RSV-A,genome,0.00026509095079566263,0.24538587848932678,119.12203612479475,14.18629550321199
174,B2_25_2024_12_03,2024_12_03,25,RSV-A,G,,0.0,0.0,
175,B2_25_2024_12_03,2024_12_03,25,RSV-A,F,,0.0,0.0,
176,B2_25_2024_12_03,2024_12_03,25,RSV-A,genome,,0.0,0.0,
177,D1_10_2024_12_03,2024_12_03,10,RSV-A,G,0.0008241309215833391,0.8685300207039337,2813.276397515528,39.332538736591175
178,D1_10_2024_12_03,2024_12_03,10,RSV-A,F,0.0010005064795664215,0.7663768115942029,2615.623768115942,10.59001512859304
179,D1_10_2024_12_03,2024_12_03,10,RSV-A,genome,0.0023357440452804593,0.7219704433497537,3199.553234811166,18.74090247452693
180,G1_17_2024_12_03,2024_12_03,17,RSV-A,G,,0.0,0.010351966873706004,
181,G1_17_2024_12_03,2024_12_03,17,RSV-A,F,,0.0,0.07710144927536232,
182,G1_17_2024_12_03,2024_12_03,17,RSV-A,genome,0.00011370417495380772,0.11829228243021346,209.48683087027914,8.883953359244865
183,H2_16_2024_12_04,2024_12_04,16,RSV-A,G,0.0036388599501402316,0.7763975155279503,6301.491718426501,25.333333333333332
184,H2_16_2024_12_04,2024_12_04,16,RSV-A,F,0.0023839748615421684,0.3344927536231884,3682.306666666667,15.59792027729636
185,H2_16_2024_12_04,2024_12_04,16,RSV-A,genome,0.002805863746161661,0.5000985221674877,1671.6893924466337,20.882584712371944
186,E2_15_2024_12_05,2024_12_05,15,RSV-A,G,,0.0,0.0,
187,E2_15_2024_12_05,2024_12_05,15,RSV-A,F,,0.0,0.0,
188,E2_15_2024_12_05,2024_12_05,15,RSV-A,genome,,0.0,0.0,
189,B1_05_2024_12_07,2024_12_07,05,RSV-A,G,0.000926472475195856,0.9151138716356108,9241.918219461697,24.886877828054295
190,B1_05_2024_12_07,2024_12_07,05,RSV-A,F,0.0008052814646147929,0.6892753623188406,4123.212173913043,15.979814970563499
191,B1_05_2024_12_07,2024_12_07,05,RSV-A,genome,0.0006965659388755168,0.7423973727422003,3626.6032183908046,15.924975670176059
