location	variant	date	proportion	proportionLower	proportionUpper
Basel (BS)	B.D.4.1.1	2024-12-09	0.0012593278025182617	4.584515660245428e-17	0.004333406724701887
Basel (BS)	B.D.4.1.1	2025-01-01	0.0019308429903331498	1.6538087591777438e-08	0.018609613355773217
Basel (BS)	B.D.4.1.1	2025-01-12	0.00047673795813816167	1.0187331705241643e-12	0.0026517785891787757
Basel (BS)	B.D.4.1.1	2025-01-16	0.00044048907117670295	1.0627168042285893e-15	0.0024834744579045284
Basel (BS)	B.D.4.1.1	2025-01-20	0.00046903230172712146	1.814268163085771e-15	0.0029345733061138047
Basel (BS)	B.D.4.1.1	2025-01-24	0.0005620359504285577	1.1869380506079684e-16	0.00315229021906801
Basel (BS)	B.D.4.1.1	2025-02-02	0.00035675867688743547	3.668998043394465e-12	0.0021299084762800426
Basel (BS)	B.D.4.1.1	2025-02-06	0.00027714825426400466	3.867545681964919e-13	0.0018825309680034863
Basel (BS)	B.D.4.1.1	2025-02-27	0.005985935807192088	0.00027051920742897476	0.014879000464673775
Basel (BS)	B.D.4.1.1	2025-03-03	0.00433687508957713	0.0002349158218288711	0.012126079766886018
Basel (BS)	B.D.4.1.1	2025-03-07	0.0012058344760376336	3.310924152280587e-13	0.004173765304145188
Basel (BS)	B.D.4.1.1	2025-03-25	0.0007207702500913523	2.0886616836098584e-18	0.00506508934925348
Basel (BS)	B.D.4.1.1	2025-03-28	0.0013872336819775138	2.884890379580466e-18	0.006158374567104137
Basel (BS)	B.D.E.1	2024-12-09	0.6247194496748427	0.012190389079173136	0.9950289485240738
Basel (BS)	B.D.E.1	2025-01-01	0.28861852477226146	7.066287365657883e-17	0.9447064591657842
Basel (BS)	B.D.E.1	2025-01-12	0.5113039130217838	0.0036482101511334233	0.9728035749371353
Basel (BS)	B.D.E.1	2025-01-16	0.7844726096233682	0.5532754009840679	0.9713641949116072
Basel (BS)	B.D.E.1	2025-01-20	0.8469320961347914	0.7593679967866946	0.9798425246469588
Basel (BS)	B.D.E.1	2025-01-24	0.9010436618130696	0.7689259912113866	0.9832628433970938
Basel (BS)	B.D.E.1	2025-02-02	0.48878412423827244	0.0029363023260462894	0.9867182359860251
Basel (BS)	B.D.E.1	2025-02-06	0.19747247520631572	0.0002973163953886781	0.9871770409219485
Basel (BS)	B.D.E.1	2025-02-27	0.9704882011047644	0.9547468106248062	0.988541073567312
Basel (BS)	B.D.E.1	2025-03-03	0.9341781579445712	0.5133417613675546	0.9865157146433434
Basel (BS)	B.D.E.1	2025-03-07	0.7417890684264837	0.28515310199119714	0.9781170028511783
Basel (BS)	B.D.E.1	2025-03-25	0.004350311612205448	1.0366357902995236e-22	0.01956181358019489
Basel (BS)	B.D.E.1	2025-03-28	0.003061686558900358	8.601065588171968e-21	0.017541591541311137
Basel (BS)	B.D.E.1.1	2024-12-09	0.10179983511863808	1.565806558066951e-05	0.9670429999963355
Basel (BS)	B.D.E.1.1	2025-01-01	0.22682116050721787	0.0005219120190322371	0.9582197729143958
Basel (BS)	B.D.E.1.1	2025-01-12	0.1387455229387436	0.0034210623798114612	0.8527516452467487
Basel (BS)	B.D.E.1.1	2025-01-16	0.01136819227020706	0.0026485698648165733	0.039330105865056246
Basel (BS)	B.D.E.1.1	2025-01-20	0.006510571623273536	0.002542770121967868	0.019741597851812117
Basel (BS)	B.D.E.1.1	2025-01-24	0.02306736877162586	0.003683218568851303	0.1774567490042193
Basel (BS)	B.D.E.1.1	2025-02-02	0.016225282981309087	0.0013619237809142065	0.028606279969389775
Basel (BS)	B.D.E.1.1	2025-02-06	0.0024393909301465263	0.00014659427721788257	0.006137674987673353
Basel (BS)	B.D.E.1.1	2025-02-27	0.0048797507124464425	0.0017907712752551412	0.011517672229209342
Basel (BS)	B.D.E.1.1	2025-03-03	0.01032130331430534	0.0022623415934004674	0.03622949305600642
Basel (BS)	B.D.E.1.1	2025-03-07	0.04971143964820422	0.0024667388487998065	0.38568900754157354
Basel (BS)	B.D.E.1.1	2025-03-25	0.9845084767791026	0.9674001260750644	0.9935612205567848
Basel (BS)	B.D.E.1.1	2025-03-28	0.9857744206219362	0.9697435772230403	0.9939647961325494
Basel (BS)	B.D.E.1.2	2024-12-09	0.010968989930581614	1.014087108739985e-18	0.007162772010438044
Basel (BS)	B.D.E.1.2	2025-01-01	0.002475268995141151	8.116407027993593e-11	0.016319673307945523
Basel (BS)	B.D.E.1.2	2025-01-12	0.0014679258250101298	4.1262016751698506e-10	0.003593429722452693
Basel (BS)	B.D.E.1.2	2025-01-16	0.001537247562036339	3.6283346565923435e-09	0.003825644349858741
Basel (BS)	B.D.E.1.2	2025-01-20	0.0018092557801510998	2.6256445360392354e-05	0.004460450475063738
Basel (BS)	B.D.E.1.2	2025-01-24	0.0029794400488542382	0.0004586652317985641	0.007445323650043882
Basel (BS)	B.D.E.1.2	2025-02-02	0.0008099912913861615	7.684716532758809e-15	0.0025200729763807336
Basel (BS)	B.D.E.1.2	2025-02-06	0.00019037241075038348	1.9519021081278525e-21	0.0007979408326449035
Basel (BS)	B.D.E.1.2	2025-02-27	0.0016896332786159227	1.0091007578082153e-12	0.005360296890476864
Basel (BS)	B.D.E.1.2	2025-03-03	0.0013236357997699168	5.878217427540158e-13	0.004492416956778541
Basel (BS)	B.D.E.1.2	2025-03-07	0.001335305909281795	8.473326043699812e-18	0.004376068189187013
