accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_003V04Y.1	A.D.1	2025-02-11	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15180	2025-06-20	OZ272581.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572094	0.997504105090312			OZ272581.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47236232/2025	0	0
PP_003V05W.1	A.D.3	2025-01-28	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15261	2025-06-20	OZ272668.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572199	1.0			OZ272668.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47112101/2025	0	0
PP_003V06U.1	A.D.3	2025-02-11	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15267	2025-06-20	OZ272704.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572015	1.0			OZ272704.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47247325/2025	0	0
PP_003V07S.1	A.D.1.5	2025-03-14	Switzerland	BS		SIB, Ch. des Mines 9	Homo sapiens	15222	2025-06-20	OZ272754.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572075	0.999671592775041			OZ272754.1			hRSV/A/Switzerland/BS-USB_B4858FB0_6FEC330C/2025	0	0
PP_003V08Q.1	A.D.3	2025-02-04	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15250	2025-06-20	OZ272763.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572006	1.0			OZ272763.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47191914/2025	0	0
PP_003V09N.1	A.D.5.2	2025-01-24	Switzerland	BS		SIB, Ch. des Mines 9	Homo sapiens	15256	2025-06-20	OZ272831.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572022	1.0			OZ272831.1			hRSV/A/Switzerland/BS-USB_97679F9A_6CA84ECD/2025	0	0
PP_003V0AL.1	A.D.1.5	2025-02-10	Switzerland	BS		SIB, Ch. des Mines 9	Homo sapiens	15249	2025-06-20	OZ272839.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572029	1.0			OZ272839.1			hRSV/A/Switzerland/BS-USB_2BF828AE_372D5349/2025	0	0
PP_003V0BJ.1	A.D.1	2025-02-14	Switzerland	BS		SIB, Ch. des Mines 9	Homo sapiens	15222	2025-06-20	OZ272913.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572073	0.999671592775041			OZ272913.1			hRSV/A/Switzerland/BS-USB_4CD77992_B54BD5A6/2025	0	0
PP_003V0CG.1	A.D.1	2024-12-12	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15258	2025-06-20	OZ273133.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572938	1.0			OZ273133.1			hRSV/A/Switzerland/UN-SNRCI-HUG-46689829/2024	0	0
PP_003V0DE.1	A.D.1.5	2025-01-10	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15264	2025-06-20	OZ273148.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572989	1.0			OZ273148.1			hRSV/A/Switzerland/UN-SNRCI-HUG-46941182/2025	0	0
PP_003V0EC.1	A.D.1	2024-11-15	Switzerland	VD		SIB, Ch. des Mines 9	Homo sapiens	15267	2025-06-20	OZ273199.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118573067	1.0			OZ273199.1			hRSV/A/Switzerland/860421517613/2024	0	0
PP_003V0FA.1	A.D.1	2024-11-19	Switzerland	VD		SIB, Ch. des Mines 9	Homo sapiens	15257	2025-06-20	OZ273208.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118573074	1.0			OZ273208.1			hRSV/A/Switzerland/860422180713/2024	0	0
PP_003V0G8.1	A.D.3	2024-12-16	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15269	2025-06-20	OZ273224.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572994	1.0			OZ273224.1			hRSV/A/Switzerland/UN-SNRCI-HUG-46736267/2024	0	0
PP_003V0H5.1	A.D.1	2024-12-30	Switzerland	BE		SIB, Ch. des Mines 9	Homo sapiens	15242	2025-06-20	OZ273317.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572946	1.0			OZ273317.1			hRSV/A/Switzerland/BE-IFIK-250113_os_12/2025	0	0
PP_003V0J3.1	A.D.3.1	2024-11-27	Switzerland	VS		SIB, Ch. des Mines 9	Homo sapiens	15260	2025-06-20	OZ273373.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118573072	1.0			OZ273373.1			hRSV/A/Switzerland/22411506927/2024	0	0
PP_003V0K1.1	A.D.1.4	2025-01-01	Switzerland	BE		SIB, Ch. des Mines 9	Homo sapiens	15238	2025-06-20	OZ273392.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572943	0.999671592775041			OZ273392.1			hRSV/A/Switzerland/BE-IFIK-250113_os_15/2025	0	0
PP_003V14X.1	A.D.3	2025-01-30	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15253	2025-06-22	OZ274528.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572159	1.0			OZ274528.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47155343/2025	0	0
PP_003V15V.1	A.D.1	2025-03-13	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15240	2025-06-22	OZ274772.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572055	1.0			OZ274772.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47538903/2025	0	0
PP_003V16T.1	A.D.1.5	2025-01-27	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15220	2025-06-22	OZ275066.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572090	0.999671592775041			OZ275066.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47123534/2025	0	0
PP_003V17R.1	A.D.1.5	2024-12-30	Switzerland	BE		SIB, Ch. des Mines 9	Homo sapiens	15256	2025-06-22	OZ275249.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572945	1.0			OZ275249.1			hRSV/A/Switzerland/BE-IFIK-250113_os_13/2025	0	0
PP_003V18P.1	A.D.3	2025-01-03	Switzerland	ZH		SIB, Ch. des Mines 9	Homo sapiens	15167	2025-06-22	OZ275318.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572967	0.9970443349753695			OZ275318.1			hRSV/A/Switzerland/ZH-UZH-IMV-3ba6fe92/2025	0	0
PP_003V19M.1	A.D.1	2024-12-31	Switzerland	BE		SIB, Ch. des Mines 9	Homo sapiens	15260	2025-06-22	OZ275407.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572947	1.0			OZ275407.1			hRSV/A/Switzerland/BE-IFIK-250113_os_11/2025	0	0
PP_003V1AK.1	A.D.1.4	2024-11-18	Switzerland	VD		SIB, Ch. des Mines 9	Homo sapiens	15257	2025-06-22	OZ275432.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118573054	1.0			OZ275432.1			hRSV/A/Switzerland/860422077413/2024	0	0
PP_003V1BH.1	A.D.1	2025-01-01	Switzerland	BE		SIB, Ch. des Mines 9	Homo sapiens	15237	2025-06-22	OZ275441.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572944	1.0			OZ275441.1			hRSV/A/Switzerland/BE-IFIK-250113_os_14/2025	0	0
PP_003V1CF.1	A.D.1	2024-12-30	Switzerland	ZH		SIB, Ch. des Mines 9	Homo sapiens	15258	2025-06-22	OZ275450.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572965	1.0			OZ275450.1			hRSV/A/Switzerland/ZH-UZH-IMV-4901375c/2024	0	0
PP_003V1DD.1	A.D.1	2024-11-17	Switzerland	VD		SIB, Ch. des Mines 9	Homo sapiens	15264	2025-06-22	OZ275485.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118573044	1.0			OZ275485.1			hRSV/A/Switzerland/860421922613/2024	0	0
PP_003V1EB.1	A.D.1.4	2025-01-10	Switzerland	VS		SIB, Ch. des Mines 9	Homo sapiens	15257	2025-06-22	OZ275540.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572960	1.0			OZ275540.1			hRSV/A/Switzerland/VS-ICH-2250120526/2025	0	0
PP_003V1F9.1	A.D.1	2025-01-09	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15260	2025-06-23	OZ275576.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572990	1.0			OZ275576.1			hRSV/A/Switzerland/UN-SNRCI-HUG-46927800/2025	0	0
PP_003V1G7.1	A.D.3	2024-11-25	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15262	2025-06-23	OZ275577.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572939	1.0			OZ275577.1			hRSV/A/Switzerland/UN-SNRCI-HUG-46521525/2024	0	0
PP_003V1H4.1	A.D.1.5	2024-12-22	Switzerland	ZH		SIB, Ch. des Mines 9	Homo sapiens	15243	2025-06-23	OZ275630.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118572966	1.0			OZ275630.1			hRSV/A/Switzerland/ZH-UZH-IMV-3ba6fdb7/2024	0	0
PP_003V1J2.1	A.D.1	2024-11-27	Switzerland	VD		SIB, Ch. des Mines 9	Homo sapiens	15264	2025-06-23	OZ275638.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118573068	1.0			OZ275638.1			hRSV/A/Switzerland/860423779315/2024	0	0
PP_003V1RN.1	A.D.3	2025-03-11	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15220	2025-06-27	OZ276461.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118576710	0.999080459770115			OZ276461.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47513921/2025	0	0
PP_003V1SL.1	A.D.1	2025-03-28	Switzerland			SIB, Ch. des Mines 9	Homo sapiens	15227	2025-06-27	OZ276482.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118576709	1.0			OZ276482.1			hRSV/A/Switzerland/UN-SNRCI-HUG-47690717/2025	0	0
PP_003V1TJ.1	A.D.1	2025-01-19	Switzerland	BS		SIB, Ch. des Mines 9	Homo sapiens	15228	2025-06-27	OZ276483.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118576707	1.0			OZ276483.1			hRSV/A/Switzerland/BS-USB_5EF20785_3DF136F9/2025	0	0
