accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_002XXBJ.1	B.D.E.1	2024-10-18	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14614	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00076163/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424699	0.9046117461568782			OZ262279.1				0	846
PP_002XXCG.1	B.D.E.1	2024-10-21	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14928	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00077150/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424700	0.9400867165944028			OZ262283.1				0	613
PP_002XXDE.1	B.D.E.1	2024-11-04	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15131	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00079989/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424701	0.9876494547365655			OZ262288.1				0	95
PP_002XXEC.1	B.D.E.1	2024-11-11	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00082403/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424702	0.9987518065957167			OZ262284.1				0	0
PP_002XXFA.1	B.D.E.1	2024-11-12	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00082769/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424703	0.9987518065957167			OZ262326.1				0	0
PP_002XXG8.1	B.D.E.1	2024-11-13	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14555	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00082965/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424704	0.9030350808040993			OZ262314.1				0	804
PP_002XXH5.1	B.D.E.1	2024-11-13	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	13481	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00082966/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424705	0.8775456576008409			OZ262302.1				0	124
PP_002XXJ3.1	B.D.E.1.2	2024-11-28	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00087317/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424706	0.9987518065957167			OZ262306.1				0	0
PP_002XXK1.1	B.D.E.1	2024-12-02	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00089494/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424707	0.9987518065957167			OZ262321.1				0	0
PP_002XXLZ.1	B.D.E.1	2024-12-09	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15206	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00089897/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424708	0.9987518065957167			OZ262295.1				0	0
